# 涨落比值随温度变化结果
# 固定重子化学势: μ_B = 1001.0 MeV
T_MeV,kappa3_over_kappa1,kappa4_over_kappa2
20.0,-2.668333359898972,913.6637021360816
22.0,-1.0715038800865888,3.477284850930186
24.0,-1.0179910916728219,3.2110838979849223
25.999999999999996,-0.9634621207328923,2.9516997565737038
28.0,-0.9085112823573408,2.6920021247344033
30.0,-0.8541431472956438,2.443757689537499
32.0,-0.801564683598833,10.004352119279787
34.0,31.8108418409525,6681.771527683963
36.0,-0.8588892734875487,83.99372022971255
38.0,-0.6519879082650005,1.6127097301955975
40.0,-0.6069452659168909,1.4531649549929615
42.0,-0.5644236054546776,1.2902733766753556
44.0,-0.5244475328988706,1.1528037270843363
46.0,-0.4870040109573798,1.028316732688774
48.0,-0.45203620328603883,0.9165125087193646
49.99999999999999,-0.41946097391892345,0.816302664290159
