# 涨落比值随温度变化结果
# 固定重子化学势: μ_B = 1001.0 MeV
T_MeV,kappa3_over_kappa1,kappa4_over_kappa2
20.0,-2.668333359898972,913.6637021360816
25.000000000000004,-0.9908063316446911,3.0807882004605154
30.0,-0.8541431472956438,2.443757689537499
35.0,-0.7263706197937109,-12.903189645780605
40.0,-0.6069452659168909,1.4531649549929615
45.0,-0.5054120369748574,1.088904668874521
50.00000000000001,-0.4194610515876647,0.8163318893535685
55.0,-0.34778010839180074,0.6103843627986442
60.0,-0.2885173847124297,0.4559667556415527
65.00000000000001,-0.23972974044096437,0.3408696442145197
70.0,-0.19962515977778075,0.25492636172348776
75.0,-0.16663934168215694,0.18951911560256643
80.0,-0.13945827360608581,0.08788435317605635
