# 涨落比值随温度变化结果
# 固定重子化学势: μ_B = 1001.0 MeV
T_MeV,kappa3_over_kappa1,kappa4_over_kappa2
20.0,-1.1229370090666881,-1308.4974580949554
22.0,-1.0714871781775392,-562.7852122580549
24.0,-1.0179910576289743,-125.58357282711762
25.999999999999996,-0.9633813502770286,-153.4061736152752
28.0,-0.9085113501982242,-116.94143381130556
30.0,-0.854124507735366,-118.08781132132735
32.0,-0.8008398133411266,-106.21119550391181
34.0,-0.7491569404480273,-81.55318541862869
36.0,-0.6994503228535084,-47.89926521063492
38.0,-0.6519884677811315,-14.239547671317982
40.0,-0.6069469581064716,5.003987680540578
42.0,-0.5644224968766812,58.916404668205416
44.0,-0.524448034719553,159.17395486839695
46.0,-0.4870041231672811,308.83226128385866
48.0,-0.4520354199065436,505.23836518748743
49.99999999999999,-0.41946022724502263,754.2532597360413
