# 涨落比值随温度变化结果
# 固定重子化学势: μ_B = 1001.0 MeV
T_MeV,kappa3_over_kappa1,kappa4_over_kappa2
20.0,-1.1229370090666881,-1308.4974580949554
25.000000000000004,-0.9907693537465075,-6.069447233256902
30.0,-0.8541238785114176,-13.25796546225527
35.0,-0.7242692562505015,-10.304973687778089
40.0,-0.6073430101117407,3.795639361909346
45.0,-0.5056817830483313,-5.757728530935167
50.00000000000001,-0.4194604934996082,-4.211847809872257
55.0,-0.347780029649905,-3.059440491871595
60.0,-0.2885160538637938,-2.213241141495642
65.00000000000001,-0.23972976036201796,-1.596440343802853
70.0,-0.19962545002991416,-1.1479151353918997
75.0,-0.16663964356211283,-0.8215973305949703
80.0,-0.139458715928596,-0.19437138659315834
